Average of time execution of all algorithms,,,,,,,
Total Records,Selection Sort,Insertion Sort,Merge Sort,Quicksort,Heapsort,Introsort,Timsort
10,0.0828504,0.1120711,0.1683978,0.1131264,0.1755735,0.1913663,0.1169616
25,0.1933319,0.2032633,0.2838896,0.1672624,0.3187853,0.3132138,0.2787946
50,0.5755221,0.4413823,0.4861434,0.3126027,0.5954568,0.5783367,0.4574584
75,1.0387112,0.8520973,0.8254709,0.5062997,0.8697918,0.8004745,0.6006387
100,2.5734205,1.472551,1.1987972,0.8331159,1.1994068,1.4468503,0.959196
250,11.6573716,6.7688062,2.5644491,1.3462559,2.5038601,2.616117,1.7633065
500,31.9207071,20.0637704,5.5758295,2.6332269,6.4597693,5.4870136,3.1132286
750,62.8736719,37.060291,7.8216197,4.7538351,9.5982234,9.494108,5.6125922
1000,108.535861,65.166984,10.3667951,5.2536694,12.239323,11.977483,6.6699417
2500,658.0068997,379.323529,20.6688922,14.3068495,26.2358117,27.0864828,17.2783206
5000,2655.4927214,1567.0939451,38.687849,27.3967887,50.0391093,48.3541936,28.6931781
7500,5928.7287433,3423.6631442,55.9333884,38.4377591,76.1907209,74.9151763,41.6140855
10000,10715.3564662,6182.5665528,75.2054318,52.2457401,101.9458537,102.045273,56.1798351
25000,74630.3859784,41031.8505264,198.7678439,135.4775507,286.3624162,286.6707056,147.0193484
50000,336948.028985,194103.8127202,426.2855839,323.8354155,642.4748843,642.351485,304.9228902
75000,834708.8484096,533279.2042283,675.0263716,524.6261798,995.8367147,997.1283355,481.4233439
100000,912242.2771,912242.2771,928.5264272,666.4791089,1392.6067732,1391.1397919,660.0840526
250000,912242.2771,912242.2771,2528.4812708,1926.386345,4098.1828184,4090.673953,1738.3637821
500000,912242.2771,912242.2771,5490.5929088,4169.9041362,8686.0383563,8673.748339,3763.9158751
750000,912242.2771,912242.2771,8699.2297855,6622.5045697,13792.3426109,13788.942246,5909.8770187
1000000,912242.2771,912242.2771,11764.5924389,9224.7008268,19026.0666917,19020.0503025,7938.7660803
2500000,912242.2771,912242.2771,32729.8362959,26252.8115843,53582.9072272,53421.5436551,21634.3857313
5000000,912242.2771,912242.2771,69787.5443332,59293.2579544,116321.393643,116067.3083249,46197.4054755
7500000,912242.2771,912242.2771,108298.0473089,92824.1835982,182124.330677,181901.4706732,69415.6667284
TIMEOUT,912242.2771,,,,,,
